Actual,Predicted
0.4098,0.4137
0.3502,0.2601
0.9292,0.8232
0.6801,0.5675
0.5022,0.4702
0.4782,0.5839
0.4451,0.3332
0.5955,1.0078
0.3501,0.3568
0.5352,0.4702
0.7603,0.7442
0,0.2661
0.4696,0.456
0.4126,0.3111
0.2328,0.3424
0.2384,0.3114
0.1151,0.2468
0.1642,0.5352
0.1642,0.311
0.7691,0.7214
0.6877,0.5123
0.8624,0.932
0.2911,0.3736
0.5956,0.6724
0.4911,0.513
0.3501,0.4208
0.6801,0.612
0.5352,0.5182
0.3203,0.4159
0.3781,0.311
0.6469,0.5836
0.201,0.2944
0.2911,0.3678
0.2911,0.4443
0.0823,0.2865
0.5292,0.3838
0.5885,0.5462
0.2602,0.4229
0.2743,0.3356
0.3808,0.3608
